State,FIPSCodes,County,number,percent
Alabama,01001,Autauga County,11342,28.6
Alabama,01003,Baldwin County,32856,22.3
Alabama,01005,Barbour County,6578,31.8
Alabama,01007,Bibb County,5846,33.9
Alabama,01009,Blount County,11954,28
Alabama,01011,Bullock County,2572,31.7
Alabama,01013,Butler County,5192,34.4
Alabama,01015,Calhoun County,27364,31.3
Alabama,01017,Chambers County,8237,31.6
Alabama,01019,Cherokee County,6770,33.5
Alabama,01021,Chilton County,9796,30.4
Alabama,01023,Choctaw County,3098,30
Alabama,01025,Clarke County,5149,27.5
Alabama,01027,Clay County,3269,31.7
Alabama,01029,Cleburne County,3385,30.1
Alabama,01031,Coffee County,10806,28.7
Alabama,01033,Colbert County,12996,31.4
Alabama,01035,Conecuh County,3087,31.6
Alabama,01037,Coosa County,2672,30.5
Alabama,01039,Covington County,9505,33
Alabama,01041,Crenshaw County,3101,29.8
Alabama,01043,Cullman County,15618,25.7
Alabama,01045,Dale County,9944,26.9
Alabama,01047,Dallas County,9276,30.7
Alabama,01049,DeKalb County,15729,30.4
Alabama,01051,Elmore County,17442,29
Alabama,01053,Escambia County,9150,31.9
Alabama,01055,Etowah County,26093,33.3
Alabama,01057,Fayette County,4039,31.4
Alabama,01059,Franklin County,7988,34.5
Alabama,01061,Geneva County,5772,28.5
Alabama,01063,Greene County,2048,31.7
Alabama,01065,Hale County,3638,32.2
Alabama,01067,Henry County,3757,28.5
Alabama,01069,Houston County,20233,26.4
Alabama,01071,Jackson County,12425,30.9
Alabama,01073,Jefferson County,128496,26.2
Alabama,01075,Lamar County,3543,32.8
Alabama,01077,Lauderdale County,20028,28.3
Alabama,01079,Lawrence County,9140,35.9
Alabama,01081,Lee County,25461,22.9
Alabama,01083,Limestone County,20256,30.6
Alabama,01085,Lowndes County,2379,29.9
Alabama,01087,Macon County,4522,30.4
Alabama,01089,Madison County,58615,22.7
Alabama,01091,Marengo County,4923,32.8
Alabama,01093,Marion County,7042,30.3
Alabama,01095,Marshall County,19817,28.7
Alabama,01097,Mobile County,84903,28
Alabama,01099,Monroe County,5272,32.3
Alabama,01101,Montgomery County,43886,26.5
Alabama,01103,Morgan County,25526,28.6
Alabama,01105,Perry County,2375,33.5
Alabama,01107,Pickens County,4416,30
Alabama,01109,Pike County,6396,25.4
Alabama,01111,Randolph County,4805,28.3
