State,FIPSCodes,County,number,percent
Alabama,01001,Autauga County,13513,34.1
Alabama,01003,Baldwin County,40365,27.4
Alabama,01005,Barbour County,9186,44.4
Alabama,01007,Bibb County,6940,40.3
Alabama,01009,Blount County,14768,34.6
Alabama,01011,Bullock County,3482,43
Alabama,01013,Butler County,5481,36.3
Alabama,01015,Calhoun County,28209,32.2
Alabama,01017,Chambers County,10338,39.7
Alabama,01019,Cherokee County,6771,33.6
Alabama,01021,Chilton County,11580,35.9
Alabama,01023,Choctaw County,4207,40.8
Alabama,01025,Clarke County,7157,38.2
Alabama,01027,Clay County,3841,37.3
Alabama,01029,Cleburne County,3379,30
Alabama,01031,Coffee County,12725,33.7
Alabama,01033,Colbert County,15526,37.5
Alabama,01035,Conecuh County,3558,36.4
Alabama,01037,Coosa County,3474,39.7
Alabama,01039,Covington County,9794,34
Alabama,01041,Crenshaw County,4136,39.7
Alabama,01043,Cullman County,20319,33.4
Alabama,01045,Dale County,13467,36.5
Alabama,01047,Dallas County,12329,40.8
Alabama,01049,DeKalb County,15728,30.4
Alabama,01051,Elmore County,21240,35.4
Alabama,01053,Escambia County,10798,37.7
Alabama,01055,Etowah County,27501,35.1
Alabama,01057,Fayette County,4332,33.7
Alabama,01059,Franklin County,7669,33.2
Alabama,01061,Geneva County,6899,34.1
Alabama,01063,Greene County,2996,46.3
Alabama,01065,Hale County,4574,40.4
Alabama,01067,Henry County,4714,35.8
Alabama,01069,Houston County,25127,32.8
Alabama,01071,Jackson County,12867,32
Alabama,01073,Jefferson County,162871,33.2
Alabama,01075,Lamar County,3631,33.6
Alabama,01077,Lauderdale County,23238,32.9
Alabama,01079,Lawrence County,9042,35.5
Alabama,01081,Lee County,32202,29
Alabama,01083,Limestone County,21768,32.9
Alabama,01085,Lowndes County,3590,45.1
Alabama,01087,Macon County,6657,44.7
Alabama,01089,Madison County,83482,32.3
Alabama,01091,Marengo County,6056,40.3
Alabama,01093,Marion County,8272,35.5
Alabama,01095,Marshall County,22945,33.2
Alabama,01097,Mobile County,112714,37.1
Alabama,01099,Monroe County,5773,35.3
Alabama,01101,Montgomery County,57641,34.8
Alabama,01103,Morgan County,28255,31.6
Alabama,01105,Perry County,3053,43
Alabama,01107,Pickens County,5349,36.4
Alabama,01109,Pike County,9668,38.4
Alabama,01111,Randolph County,5246,30.9
Alabama,01113,Russell County,15684,36.4
Alabama,01115,St. Clair County,21299,33
Alabama,01117,Shelby County,44775,30.1
Alabama,01119,Sumter County,4041,40.3
Alabama,01121,Talladega County,23848,39
Alabama,01123,Tallapoosa County,11637,36.9
Alabama,01125,Tuscaloosa County,50708,34.3
Alabama,01127,Walker County,16546,33.2
Alabama,01129,Washington County,5056,40.2
Alabama,01131,Wilcox County,3635,44.9
Alabama,01133,Winston County,5614,30.2
Alaska,02013,Aleutians East Borough,973,33.4
Alaska,02016,Aleutians West,1911,39.4
Alaska,02020,Anchorage Municipality,58753,27
Alaska,02050,Bethel Census Area,3292,30.3
Alaska,02060,Bristol Bay Borough,287,39.7
Alaska,02068,Denali Borough,411,27
Alaska,02070,Dillingham Census Area,1220,38
Alaska,02090,Fairbanks North Star,20644,28.1
Alaska,02100,Haines Borough,512,25.5
Alaska,02105,Hoonah-Angoon 2009 Census,533,31.8
Alaska,02110,Juneau City and Borough,6987,28.6
Alaska,02122,Kenai Peninsula Borough,12045,28.4
Alaska,02130,Ketchikan Gateway Borough,3160,30.8
Alaska,02150,Kodiak Island Borough,3023,30.2
Alaska,02164,Lake and Peninsula Borough,358,31.9
Alaska,02170,Matanuska-Susitna Borough,20244,30.2
Alaska,02180,Nome Census Area,1966,31.7
Alaska,02185,North Slope Borough,2577,36.5
Alaska,02188,Northwest Arctic Borough,1537,32.4
Alaska,02195,Petersburg 2009 Census,739,30.5
Alaska,02198,Prince of Wales-Hyder 2009 Census,1648,35.2
Alaska,02220,Sitka City and Borough,1941,28.7
Alaska,02230,Skagway Municipality 2009 Census,243,28.1
Alaska,02240,Southeast Fairbanks Census,1666,33.1
Alaska,02261,Valdez-Cordova Census Area,2157,30.4
Alaska,02270,Wade Hampton Census Area,1427,32.6
Alaska,02275,Wrangell City and Borough 2009 Census,560,30.6
Alaska,02282,Yakutat City and Borough,154,31.3
Alaska,02290,Yukon-Koyukuk Census Area,1123,28.3
Arizona,04001,Apache County,17023,35.2
Arizona,04003,Cochise County,25211,26
Arizona,04005,Coconino County,22773,23.2
Arizona,04007,Gila County,11295,27.5
Arizona,04009,Graham County,8355,32.5
Arizona,04011,Greenlee County,2135,34.7
Arizona,04012,La Paz County,5255,32
Arizona,04013,Maricopa County,735213,25.4
Arizona,04015,Mohave County,47422,29.6
Arizona,04017,Navajo County,22881,30.9
Arizona,04019,Pima County,180192,24.2
Arizona,04021,Pinal County,89968,31.6
Arizona,04023,Santa Cruz County,7382,23
Arizona,04025,Yavapai County,43596,25.3
Arizona,04027,Yuma County,43302,30.5
Arkansas,05001,Arkansas County,4741,33.8
Arkansas,05003,Ashley County,6635,42.1
Arkansas,05005,Baxter County,10639,32.3
Arkansas,05007,Benton County,50511,30.1
Arkansas,05009,Boone County,9525,33.9
Arkansas,05011,Bradley County,3261,39
Arkansas,05013,Calhoun County,1424,34.2
Arkansas,05015,Carroll County,7525,35.8
Arkansas,05017,Chicot County,3654,43.1
Arkansas,05019,Clark County,5755,34.3
Arkansas,05021,Clay County,3986,33.7
Arkansas,05023,Cleburne County,6415,31.8
Arkansas,05025,Cleveland County,2263,35.7
Arkansas,05027,Columbia County,6418,36.4
Arkansas,05029,Conway County,6284,39.7
Arkansas,05031,Craighead County,26581,36.4
Arkansas,05033,Crawford County,15680,35.1
Arkansas,05035,Crittenden County,13372,38.8
Arkansas,05037,Cross County,4847,37.9
Arkansas,05039,Dallas County,2157,36.2
Arkansas,05041,Desha County,3553,39.6
Arkansas,05043,Drew County,4696,34.3
Arkansas,05045,Faulkner County,28735,33.2
Arkansas,05047,Franklin County,4893,37.1
Arkansas,05049,Fulton County,3125,32.9
Arkansas,05051,Garland County,24169,32.3
Arkansas,05053,Grant County,5113,38.3
Arkansas,05055,Greene County,9796,31.2
Arkansas,05057,Hempstead County,6444,40.3
Arkansas,05059,Hot Spring County,8795,34.7
Arkansas,05061,Howard County,3457,35.7
Arkansas,05063,Independence County,10059,37.2
Arkansas,05065,Izard County,3617,33.9
Arkansas,05067,Jackson County,5107,37.2
Arkansas,05069,Jefferson County,21898,40.7
Arkansas,05071,Johnson County,6822,36.4
Arkansas,05073,Lafayette County,2026,36.3
Arkansas,05075,Lawrence County,4047,31.8
Arkansas,05077,Lee County,2798,35.7
Arkansas,05079,Lincoln County,4195,37.5
Arkansas,05081,Little River County,3117,32.7
Arkansas,05083,Logan County,6169,37.5
Arkansas,05085,Lonoke County,17984,35.8
Arkansas,05087,Madison County,3964,34
Arkansas,05089,Marion County,4215,31.7
Arkansas,05091,Miller County,11473,35.9
Arkansas,05093,Mississippi County,12543,39.8
Arkansas,05095,Monroe County,2186,37.5
Arkansas,05097,Montgomery County,2442,33.8
Arkansas,05099,Nevada County,2376,36
Arkansas,05101,Newton County,2156,34.2
Arkansas,05103,Ouachita County,6518,34.8
Arkansas,05105,Perry County,2945,37.5
Arkansas,05107,Phillips County,6511,45.5
Arkansas,05109,Pike County,3106,37.8
Arkansas,05111,Poinsett County,6884,38.4
Arkansas,05113,Polk County,5567,36.7
Arkansas,05115,Pope County,14614,32.1
Arkansas,05117,Prairie County,2341,36.3
Arkansas,05119,Pulaski County,91723,31.7
Arkansas,05121,Randolph County,4704,35.3
Arkansas,05123,St. Francis County,8713,42.5
Arkansas,05125,Saline County,27482,32.5
Arkansas,05127,Scott County,2600,32.5
Arkansas,05129,Searcy County,2180,35
Arkansas,05131,Sebastian County,34196,36.9
Arkansas,05133,Sevier County,4352,36.7
Arkansas,05135,Sharp County,4898,37.3
Arkansas,05137,Stone County,3170,32.6
Arkansas,05139,Union County,11882,39.4
Arkansas,05141,Van Buren County,4727,35.6
Arkansas,05143,Washington County,46742,30.6
Arkansas,05145,White County,20712,36.3
Arkansas,05147,Woodruff County,1906,35.8
Arkansas,05149,Yell County,5848,37.1
California,06001,Alameda County,239490,20
California,06003,Alpine County,206,23.4
California,06005,Amador County,7705,25.5
California,06007,Butte County,43754,25.9
California,06009,Calaveras County,8383,23.5
California,06011,Colusa County,3743,25.4
California,06013,Contra Costa County,202273,25
California,06015,Del Norte County,5450,25.5
California,06017,El Dorado County,28635,20.6
California,06019,Fresno County,173009,26.6
California,06021,Glenn County,5252,26.7
California,06023,Humboldt County,26419,25.5
California,06025,Imperial County,31884,26.3
California,06027,Inyo County,3293,23.3
California,06029,Kern County,177032,30.3
California,06031,Kings County,27793,26.4
California,06033,Lake County,12950,26.2
California,06035,Lassen County,6152,23.9
California,06037,Los Angeles County,1592424,21.4
California,06039,Madera County,27896,26.5
California,06041,Marin County,37852,18.9
California,06043,Mariposa County,3507,24.4
California,06045,Mendocino County,14872,22.4
California,06047,Merced County,51507,29.5
California,06049,Modoc County,1632,23.2
California,06051,Mono County,2487,22.8
California,06053,Monterey County,67373,22.3
California,06055,Napa County,25093,23.7
California,06057,Nevada County,16591,21.1
California,06059,Orange County,454594,19.7
California,06061,Placer County,59334,21.7
California,06063,Plumas County,3480,23
California,06065,Riverside County,418753,26
California,06067,Sacramento County,292196,27.4
California,06069,San Benito County,9357,23.3
California,06071,San Bernardino County,404873,27.9
California,06073,San Diego County,459215,19.1
California,06075,San Francisco County,115017,16.1
California,06077,San Joaquin County,137657,28.3
California,06079,San Luis Obispo County,52136,24.5
California,06081,San Mateo County,120590,21.1
California,06083,Santa Barbara County,57998,18.2
California,06085,Santa Clara County,271468,19.5
California,06087,Santa Cruz County,40748,20.2
California,06089,Shasta County,36017,26.5
California,06091,Sierra County,559,22.5
California,06093,Siskiyou County,7851,23.2
California,06095,Solano County,94985,30.1
California,06097,Sonoma County,79223,20.9
California,06099,Stanislaus County,119492,32.6
California,06101,Sutter County,19382,28.7
California,06103,Tehama County,12635,27.2
California,06105,Trinity County,2723,25.1
California,06107,Tulare County,96522,32.6
California,06109,Tuolumne County,8832,20.2
California,06111,Ventura County,123935,20.3
California,06113,Yolo County,34156,22.7
California,06115,Yuba County,12600,24.8
Colorado,08001,Adams County,86390,26.3
Colorado,08003,Alamosa County,2620,23
Colorado,08005,Arapahoe County,94948,21.4
Colorado,08007,Archuleta County,1597,16.5
Colorado,08009,Baca County,550,19.4
Colorado,08011,Bent County,1242,26.5
Colorado,08013,Boulder County,31116,13.4
Colorado,08014,Broomfield County,7763,17.6
Colorado,08015,Chaffee County,3082,20.5
Colorado,08017,Cheyenne County,329,23.7
Colorado,08019,Clear Creek County,1370,18.1
Colorado,08021,Conejos County,1419,24.5
Colorado,08023,Costilla County,610,21.9
Colorado,08025,Crowley County,976,21.6
Colorado,08027,Custer County,727,20.5
Colorado,08029,Delta County,4735,20.4
Colorado,08031,Denver County,82171,16.4
Colorado,08033,Dolores County,305,19.8
Colorado,08035,Douglas County,35803,17
Colorado,08037,Eagle County,4601,11.8
Colorado,08039,Elbert County,3457,19.6
Colorado,08041,El Paso County,104881,22.3
Colorado,08043,Fremont County,8657,22.8
Colorado,08045,Garfield County,8130,20
Colorado,08047,Gilpin County,893,19.7
Colorado,08049,Grand County,1987,17.4
Colorado,08051,Gunnison County,1765,14.8
Colorado,08053,Hinsdale County,133,20.5
Colorado,08055,Huerfano County,1081,20.1
Colorado,08057,Jackson County,234,21.4
Colorado,08059,Jefferson County,77277,18.3
Colorado,08061,Kiowa County,212,19.5
Colorado,08063,Kit Carson County,1672,27.6
Colorado,08065,Lake County,940,17.5
Colorado,08067,La Plata County,6699,16.3
Colorado,08069,Larimer County,44701,18.7
Colorado,08071,Las Animas County,2357,21
Colorado,08073,Lincoln County,1013,23.8
Colorado,08075,Logan County,4380,25.4
Colorado,08077,Mesa County,25692,23.5
Colorado,08079,Mineral County,112,18.1
Colorado,08081,Moffat County,2441,25.8
Colorado,08083,Montezuma County,4198,21.7
Colorado,08085,Montrose County,6015,19.7
Colorado,08087,Morgan County,5393,26.9
Colorado,08089,Otero County,3615,26.9
Colorado,08091,Ouray County,691,18.6
Colorado,08093,Park County,2685,20.5
Colorado,08095,Phillips County,725,22.8
Colorado,08097,Pitkin County,2115,14.9
Colorado,08099,Prowers County,2233,26.1
Colorado,08101,Pueblo County,30771,25.9
Colorado,08103,Rio Blanco County,1097,22.6
Colorado,08105,Rio Grande County,2001,23.2
Colorado,08107,Routt County,2621,14.3
Colorado,08109,Saguache County,925,19.7
Colorado,08111,San Juan County,113,19.3
Colorado,08113,San Miguel County,1015,16.7
Colorado,08115,Sedgwick County,404,22.1
Colorado,08117,Summit County,3095,13.1
Colorado,08119,Teller County,3720,20.3
Colorado,08121,Washington County,841,23.2
Colorado,08123,Weld County,49141,26
Colorado,08125,Yuma County,1794,24.8
Connecticut,09001,Fairfield County,147726,21.4
Connecticut,09003,Hartford County,181479,26.8
Connecticut,09005,Litchfield County,34632,23.9
Connecticut,09007,Middlesex County,30898,24.1
Connecticut,09009,New Haven County,172644,26.5
Connecticut,09011,New London County,57863,27.6
