STNAM,FIPST,LEAID,leanm11,ALL_RLA00numvalid_1112,ALL_RLA00pctprof_1112
ALABAMA,1,100002,Alabama Youth Services,47,55
ALABAMA,1,100005,Albertville City,2128,86
ALABAMA,1,100006,Marshall County,3060,87
ALABAMA,1,100007,Hoover City,7194,92
ALABAMA,1,100008,Madison City,4812,95
ALABAMA,1,100009,Al Inst Deaf And Blind,142,42
ALABAMA,1,100011,Leeds City,862,83
ALABAMA,1,100012,Boaz City,1125,90
ALABAMA,1,100013,Trussville City,2262,95
ALABAMA,1,100210,Auburn City,3790,93
ALABAMA,1,100240,Autauga County,5402,91
ALABAMA,1,100270,Baldwin County,14968,90
ALABAMA,1,100300,Barbour County,541,70
ALABAMA,1,100330,Bessemer City,2307,75
ALABAMA,1,100360,Bibb County,1896,84
ALABAMA,1,100390,Birmingham City,13027,75
ALABAMA,1,100420,Blount County,4564,87
ALABAMA,1,100450,Brewton City,640,91
ALABAMA,1,100480,Bullock County,784,75
ALABAMA,1,100510,Butler County,1723,84
ALABAMA,1,100540,Calhoun County,5078,90
ALABAMA,1,100600,Chambers County,2055,80
ALABAMA,1,100630,Cherokee County,2208,84
ALABAMA,1,100660,Chilton County,4185,84
ALABAMA,1,100690,Choctaw County,962,79
ALABAMA,1,100720,Clarke County,1739,80
ALABAMA,1,100750,Clay County,1121,80
ALABAMA,1,100780,Cleburne County,1375,87
ALABAMA,1,100810,Coffee County,1081,88
ALABAMA,1,100840,Colbert County,1461,87
ALABAMA,1,100870,Conecuh County,846,88
ALABAMA,1,100900,Coosa County,652,83
ALABAMA,1,100930,Covington County,1633,90
ALABAMA,1,100960,Crenshaw County,1167,85
ALABAMA,1,100990,Cullman City,1638,96
ALABAMA,1,101020,Cullman County,5179,88
ALABAMA,1,101050,Dale County,1642,90
ALABAMA,1,101080,Daleville City,626,83
ALABAMA,1,101110,Dallas County,2023,74
ALABAMA,1,101140,Dekalb County,4724,83
ALABAMA,1,101170,Decatur City,4350,85
ALABAMA,1,101200,Demopolis City,1265,89
ALABAMA,1,101230,Dothan City,4950,89
ALABAMA,1,101260,Elba City,424,78
ALABAMA,1,101290,Elmore County,5682,90
ALABAMA,1,101320,Enterprise City,3495,92
ALABAMA,1,101350,Escambia County,2441,87
ALABAMA,1,101380,Etowah County,4972,89
ALABAMA,1,101410,Eufaula City,1386,82
ALABAMA,1,101440,Fairfield City,936,74
ALABAMA,1,101470,Fayette County,1317,86
ALABAMA,1,101530,Florence City,2302,90
ALABAMA,1,101560,Fort Payne City,1573,85
ALABAMA,1,101590,Franklin County,1656,88
ALABAMA,1,101620,Gadsden City,2803,83
ALABAMA,1,101640,Geneva City,650,88
ALABAMA,1,101660,Geneva County,1522,80
ALABAMA,1,101680,Greene County,700,77
ALABAMA,1,101690,Guntersville City,1039,91
ALABAMA,1,101710,Hale County,1552,80
ALABAMA,1,101720,Haleyville City,888,89
ALABAMA,1,101730,Hartselle City,1699,93
ALABAMA,1,101740,Henry County,1466,82
ALABAMA,1,101760,Homewood City,1872,93
ALABAMA,1,101770,Houston County,3483,90
ALABAMA,1,101800,Huntsville City,11828,86
ALABAMA,1,101830,Jackson County,3085,87
ALABAMA,1,101860,Jacksonville City,851,89
ALABAMA,1,101890,Jasper City,1389,89
ALABAMA,1,101920,Jefferson County,19486,86
ALABAMA,1,101950,Lamar County,1262,82
ALABAMA,1,101980,Lanett City,435,74
ALABAMA,1,102010,Lauderdale County,4668,89
ALABAMA,1,102040,Lawrence County,2636,86
ALABAMA,1,102070,Lee County,5310,87
ALABAMA,1,102100,Limestone County,4825,83
ALABAMA,1,102130,Linden City,270,66
ALABAMA,1,102160,Lowndes County,960,74
ALABAMA,1,102190,Macon County,1320,76
ALABAMA,1,102220,Madison County,10520,92
ALABAMA,1,102250,Marengo County,717,79
ALABAMA,1,102310,Marion County,1884,89
ALABAMA,1,102350,Midfield City,701,75
ALABAMA,1,102370,Mobile County,31569,87
ALABAMA,1,102400,Monroe County,2059,80
ALABAMA,1,102430,Montgomery County,16407,76
ALABAMA,1,102480,Morgan County,4209,88
ALABAMA,1,102490,Mountain Brook City,2488,98
ALABAMA,1,102520,Muscle Shoals City,1520,94
ALABAMA,1,102550,Oneonta City,776,93
ALABAMA,1,102580,Opelika City,2192,83
ALABAMA,1,102610,Opp City,711,84
ALABAMA,1,102635,Oxford City,2194,89
ALABAMA,1,102640,Ozark City,1261,85
ALABAMA,1,102650,Pell City,2200,89
ALABAMA,1,102670,Perry County,995,77
ALABAMA,1,102700,Phenix City,3477,83
ALABAMA,1,102730,Pickens County,1523,85
ALABAMA,1,102760,Piedmont City,600,90
ALABAMA,1,102790,Pike County,1245,87
ALABAMA,1,102820,Randolph County,1249,82
ALABAMA,1,102850,Roanoke City,811,80
ALABAMA,1,102880,Russell County,1891,81
ALABAMA,1,102910,Russellville City,1350,90
ALABAMA,1,102940,Scottsboro City,1416,87
ALABAMA,1,102970,Selma City,1924,80
ALABAMA,1,103000,Sheffield City,571,75
ALABAMA,1,103030,Shelby County,15344,90
ALABAMA,1,103062,St Clair County,4608,88
ALABAMA,1,103090,Sumter County,1034,66
ALABAMA,1,103120,Sylacauga City,1278,87
ALABAMA,1,103150,Talladega City,1210,77
ALABAMA,1,103180,Talladega County,4133,84
ALABAMA,1,103210,Tallapoosa County,1590,80
ALABAMA,1,103240,Tallassee City,1007,84
ALABAMA,1,103270,Tarrant City,606,74
ALABAMA,1,103300,Thomasville City,802,87
ALABAMA,1,103330,Troy City,1084,87
ALABAMA,1,103360,Tuscaloosa City,5299,81
ALABAMA,1,103390,Tuscaloosa County,9381,86
ALABAMA,1,103420,Tuscumbia City,836,89
ALABAMA,1,103430,Vestavia Hills City,3497,97
ALABAMA,1,103450,Walker County,4318,85
ALABAMA,1,103480,Washington County,1792,84
ALABAMA,1,103510,Wilcox County,987,77
ALABAMA,1,103540,Winfield City,691,96
ALABAMA,1,103580,Winston County,1446,84
ALASKA,2,200001,Lower Kuskokwim,2364,38
ALASKA,2,200003,Lower Yukon,1160,31
ALASKA,2,200004,Yupiit,263,24
ALASKA,2,200005,Kashunamiut,168,37
ALASKA,2,200006,Mount Edgecumbe High Agency,190,87
ALASKA,2,200007,Aleutians East Borough,128,87
ALASKA,2,200010,Aleutian Region,12,50
ALASKA,2,200020,Bering Strait,948,53
ALASKA,2,200030,Bristol Bay Borough,93,82
ALASKA,2,200050,Alaska Gateway,207,67
ALASKA,2,200060,Cordova City,203,86
ALASKA,2,200070,Copper River,315,90
ALASKA,2,200090,Craig City,375,89
ALASKA,2,200100,Delta/Greely,512,85
ALASKA,2,200120,Dillingham City,283,69
ALASKA,2,200130,Galena City,2124,87
ALASKA,2,200150,Ketchikan Gateway Borough,1285,85
ALASKA,2,200180,Anchorage,28565,81
ALASKA,2,200210,Juneau Borough,2908,85
ALASKA,2,200240,Sitka,786,85
ALASKA,2,200270,Haines Borough,179,92
ALASKA,2,200300,Hoonah City,64,72
ALASKA,2,200330,Hydaburg City,28,69.5
ALASKA,2,200360,Kake City,50,74.5
ALASKA,2,200390,Kenai Peninsula Borough,5356,88
ALASKA,2,200450,Klawock City,85,77
ALASKA,2,200480,Kodiak Island Borough,1504,86
ALASKA,2,200485,Lake and Peninsula Borough,179,77
ALASKA,2,200510,Matanuska-Susitna Borough,10103,88
ALASKA,2,200520,Iditarod Area,174,77
ALASKA,2,200525,Annette Island,168,82
ALASKA,2,200540,Nenana City,351,84
ALASKA,2,200570,Nome,425,69
ALASKA,2,200600,Fairbanks North Star Borough,8489,85
ALASKA,2,200610,North Slope Borough,915,58
ALASKA,2,200625,Northwest Arctic Borough,1085,47
ALASKA,2,200630,Pelican City,10,50
ALASKA,2,200660,Petersburg City,278,90
ALASKA,2,200670,Pribilof,54,74.5
ALASKA,2,200680,Saint Mary's,109,62
ALASKA,2,200690,Skagway City,33,90
ALASKA,2,200700,Southeast Island,93,87
ALASKA,2,200710,Southwest Region,386,43
ALASKA,2,200715,Tanana City,22,49.5
ALASKA,2,200720,Unalaska City,253,94
ALASKA,2,200730,Chatham,86,72
ALASKA,2,200760,Kuspuk,206,51
ALASKA,2,200770,Denali Borough,376,90
ALASKA,2,200775,Yukon Flats,176,47
ALASKA,2,200780,Valdez City,409,90
ALASKA,2,200800,Chugach,136,87
ALASKA,2,200810,Wrangell Public,235,87
ALASKA,2,200840,Yakutat,64,87
ALASKA,2,200862,Yukon/Koyukuk,694,76
ARIZONA,4,400001,Cave Creek ,3081,92
ARIZONA,4,400003,Chino Valley ,1237,80
ARIZONA,4,400004,Clarkdale-Jerome Elementary,299,85
ARIZONA,4,400005,Salome Consolidated Elementary,58,54.5
ARIZONA,4,400016,Center for Academic Success  Inc.,444,73
ARIZONA,4,400018,Pine Forest Education Association  Inc.,149,82
ARIZONA,4,400019,Flagstaff Arts And Leadership Academy,156,92
ARIZONA,4,400020,Montessori Charter of Flagstaff  Inc.,149,95
